比赛名称,奖金金额,奖金美元数,比赛类别,主办方,截止日期,官方链接,来源平台
淘宝无限帧AI创意赛,"¥44,000",6111,AI开发,,2026-06-05,,AI掘金
S2跨境OPC,"¥45,000现金 + ¥100,000算力",6250,AI开发,,2026-06-06,,AI掘金
IEEE AICAS 2026 Grand Challenge - 端侧VLM推理FPGA软硬件系统设计赛道 (赛季2),"$3,550",3550,AI开发,阿里云,2026-06-06,https://tianchi.aliyun.com/competition/entrance/532451/introduction,天池
TapTV Arena AI动画黑客松·杭州站,"¥600,000现金 + ¥140万算力",833333333,AI视频,,2026-06-07,https://www.aitop100.cn/infomation/details/33855.html,AI掘金
满帮集团Agent算法大赛：基于Agentic AI 的卡车司机连续找货决策 (赛季1),"￥217,000",30138,AI开发,阿里云,2026-06-07,https://tianchi.aliyun.com/competition/entrance/532467/introduction,天池
TapNow TapTV Arena AI动画黑客松,见官网,0,AI视频,TapNow,2026-06-07,https://app.tapnow.ai/event/27,手动添加
IEEE AICAS 2026 Grand Challenge - 面向AI芯片的VLM高效推理与优化赛道 (赛季1),"$3,550",3550,AI开发,阿里云,2026-06-08,https://tianchi.aliyun.com/competition/entrance/532450/introduction,天池
ClickHouse + Hex AI Hackathon,"$1,175,000（≈¥850万）",1175000,AI黑客松,ClickHouse,2026-06-11,,AI掘金
虎力全开·AI养车创作季（途虎×商汤）,"¥200,000",27777,AI开发,,2026-06-11,,AI掘金
途虎养车×商汤Seko AI养车创作季,"¥15,000",2083,AI开发,,2026-06-11,,AI掘金
途虎养车×商汤Seko｜虎力全开·AI养车创作季,"¥15,000",2083,AI开发,AI贝塔斯,2026-06-11,https://www.aibetas.com/aigc_events,AI掘金
智联招聘首届AI创新大赛,"¥500,000+",69444,AI开发,AI贝塔斯,2026-06-14,https://www.aibetas.com/aigc_events,AI掘金
ETHGlobal New York 2026,"$500,000+",500000,AI开发,ETHGlobal,2026-06-14,https://ethglobal.com/,AI掘金
Microsoft Agents League Hackathon,"$55,000",55000,AI黑客松,Microsoft,2026-06-14,https://agentdeadlines.com/,AI掘金
第一届国际工程智能大赛-土木工程赛道：桥梁结构关键构件智能网格生成挑战赛 (赛季2),"￥100,000",13888,AI开发,阿里云,2026-06-14,https://tianchi.aliyun.com/competition/entrance/532443/introduction,天池
Mantle Turing Test Hackathon,"$100,000",100000,AI黑客松,DoraHacks,2026-06-15,https://dorahacks.io/hackathon/turing-test-hackathon-2026,AI掘金
Google Cloud Rapid Agent Hackathon,"¥432,000",60000,AI黑客松,Devpost,2026-06-15,https://rapid-agent.devpost.com/,AI掘金
5-Day AI Agents: Intensive Vibe Coding Course With Google,见官网,0,AI开发,Google,2026-06-15,https://www.kaggle.com/c/5-day-ai-agents-intensive-vibecoding-course-with-google,Kaggle
Agents Without Masters — NEAR AI × DoraHacks,"$25,000",25000,AI黑客松,未知,2026-06-16,https://dorahacks.io/,AI掘金
AI Agents Hackathon 2026 (Databricks),"$10,000 / $5,000 / $2,500",10000,AI黑客松,未知,2026-06-18,https://agentdeadlines.com/,AI掘金
